Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
POST,/api/integrations/mappingsets/{id}/clone,,IntegrationMappingSets,Sí,[{'Bearer': []}],Registro de integration mapping sets: registra una solicitud de clone dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/clone
GET,/api/integrations/mappingsets/{id}/history,,IntegrationMappingSets,Sí,[{'Bearer': []}],Consulta de integration mapping sets: consulta history dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/history
POST,/api/integrations/mappingsets/compare,,IntegrationMappingSets,Sí,[{'Bearer': []}],Registro de integration mapping sets: registra una solicitud de compare dentro de integration mapping sets para la ruta /api/integrations/mappingsets/compare
GET,/api/users/login-lockout,,LoginLockoutSettings,Sí,[{'Bearer': []}],Consulta de login lockout settings: consulta get dentro de login lockout settings para la ruta /api/users/login-lockout
PUT,/api/users/login-lockout,,LoginLockoutSettings,Sí,[{'Bearer': []}],Actualización de login lockout settings: actualiza información de save dentro de login lockout settings para la ruta /api/users/login-lockout
POST,/Maintenance/seed,,Maintenance,Sí,[{'Bearer': []}],Registro de maintenance: registra una solicitud de run db initializer dentro de maintenance para la ruta /Maintenance/seed
GET,/navigation/menu-items,,MenuItems,Sí,[{'Bearer': []}],Consulta de menu items: consulta get menu items dentro de menu items para la ruta /navigation/menu-items
POST,/navigation/menu-items,,MenuItems,Sí,[{'Bearer': []}],Registro de menu items: registra una solicitud de create menu item dentro de menu items para la ruta /navigation/menu-items
PUT,/navigation/menu-items/{id},,MenuItems,Sí,[{'Bearer': []}],Actualización de menu items: actualiza información de update menu item dentro de menu items para la ruta /navigation/menu-items/{id}
DELETE,/navigation/menu-items/{id},,MenuItems,Sí,[{'Bearer': []}],Eliminación de menu items: elimina recursos asociados a delete menu item dentro de menu items para la ruta /navigation/menu-items/{id}
GET,/nacha-config/perfiles,,NachaConfigProfiles,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta get profiles dentro de operación NACHA-M para la ruta /nacha-config/perfiles
POST,/nacha-config/perfiles,,NachaConfigProfiles,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de create draft dentro de operación NACHA-M para la ruta /nacha-config/perfiles
GET,/nacha-config/catalogos-filtro,,NachaConfigProfiles,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta get filter catalogs dentro de operación NACHA-M para la ruta /nacha-config/catalogos-filtro
GET,/nacha-config/perfiles/{id},,NachaConfigProfiles,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta get profile dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}
PUT,/nacha-config/perfiles/{id},,NachaConfigProfiles,Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update draft dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}
POST,/nacha-config/perfiles/{id}/clonar,,NachaConfigProfiles,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de clone dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/clonar
POST,/nacha-config/perfiles/{id}/validar,,NachaConfigProfiles,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de validate dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/validar
POST,/nacha-config/perfiles/{id}/publicar,,NachaConfigProfiles,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de publish dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/publicar
POST,/nacha-config/perfiles/{id}/inactivar,,NachaConfigProfiles,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de inactivate dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/inactivar
POST,/nacha-config/perfiles/{id}/archivar,,NachaConfigProfiles,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de archive dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/archivar
GET,/nacha-config/perfiles/{id}/historial,,NachaConfigProfiles,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta history dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/historial
GET,/nacha-config/perfiles/{id}/snapshots,,NachaConfigProfiles,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta snapshots dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/snapshots
